"Directory.Name"	"Species"	"Common.name"	"Other.species.names"	"Species.Taxonomy.ID"	"Taxonomic.Lineage"	"Assembly.name"	"NCBI.accession"	"Source.of.assembly"	"NCBI.assembly.name"	"NCBI.assembly.status"	"Assembly.submission.date"	"Assembly.submitter.organization"	"contig.N50..bp."	"scaffold.N50..bp."	"Zoonomia_name"
"11"	"Heterocephalus_glaber__naked_mole-rat__HLhetGla3"	"Heterocephalus_glaber"	"naked mole-rat"	"naked_mole_rat"	10181	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Bathyergidae; Heterocephalus"	"HLhetGla3"	"DNA Zoo Consortium"	"DNA Zoo Consortium"	""	""	"2021-01-29"	""	40135	100148522	"heterocephalus_glaber"
"12"	"Heterocephalus_glaber__naked_mole-rat__HLhetGla5__GCA_944319715.1"	"Heterocephalus_glaber"	"naked mole-rat"	"naked_mole_rat"	10181	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Bathyergidae; Heterocephalus"	"HLhetGla5"	"GCA_944319715.1"	"NCBI"	"Naked mole-rat maternal"	"Chromosome"	"2022-07-01"	"hospital for sick children"	3438577	95752777	"heterocephalus_glaber"
"13"	"Heterocephalus_glaber__naked_mole-rat__hetGla2__GCF_000247695.1"	"Heterocephalus_glaber"	"naked mole-rat"	"naked_mole_rat"	10181	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Bathyergidae; Heterocephalus"	"hetGla2"	"GCF_000247695.1"	"NCBI"	"HetGla_female_1.0"	"Scaffold"	"2012-02-17"	"Broad Institute"	47778	20532749	"heterocephalus_glaber"
"14"	"Cavia_porcellus__domestic_guinea_pig__HLcavPor4__GCA_034190915.1"	"Cavia_porcellus"	"domestic guinea pig"	"Mus_porcellus,Cavia_aperea_porcellus,Cavia_cobaya,guinea_pig"	10141	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Cavia"	"HLcavPor4"	"GCA_034190915.1"	"NCBI"	"mCavPor4.1"	"Scaffold"	"2023-12-07"	"University of Maryland"	48931253	75707104	"cavia_porcellus"
"15"	"Cavia_tschudii__Montane_guinea_pig__HLcavTsc1__GCA_004027695.1"	"Cavia_tschudii"	"Montane guinea pig"	""	143287	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Cavia"	"HLcavTsc1"	"GCA_004027695.1"	"NCBI"	"CavTsc_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	64807	91436	"cavia_tschudii"
"16"	"Cavia_aperea__Brazilian_guinea_pig__cavApe1__GCA_000688575.1"	"Cavia_aperea"	"Brazilian guinea pig"	""	37548	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Cavia"	"cavApe1"	"GCA_000688575.1"	"NCBI"	"CavAp1.0"	"Scaffold"	"2014-01-21"	"Leibniz Institute for Zoo and Wildlife research"	1039	27928671	"cavia_aperea"
"17"	"Dolichotis_patagonum__Patagonian_cavy__HLdolPat1__GCA_004027295.1"	"Dolichotis_patagonum"	"Patagonian cavy"	"Patagonian_mara"	29091	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Dolichotis"	"HLdolPat1"	"GCA_004027295.1"	"NCBI"	"DolPat_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	27983	31026	"dolichotis_patagonum"
"18"	"Chinchilla_lanigera__long-tailed_chinchilla__chiLan1__GCF_000276665.1"	"Chinchilla_lanigera"	"long-tailed chinchilla"	"Mus_laniger,Chinchilla_velligera"	34839	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Chinchillidae; Chinchilla"	"chiLan1"	"GCF_000276665.1"	"NCBI"	"ChiLan1.0"	"Scaffold"	"2012-08-28"	"Broad Institute"	61105	21893125	"chinchilla_lanigera"
"19"	"Ctenodactylus_gundi__northern_gundi__HLcteGun1__GCA_004027205.1"	"Ctenodactylus_gundi"	"northern gundi"	"gundi"	10166	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Ctenodactylidae; Ctenodactylus"	"HLcteGun1"	"GCA_004027205.1"	"NCBI"	"CteGun_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	218543	354548	"ctenodactylus_gundi"
"20"	"Ctenodactylus_gundi__Northern_gundi__HLcteGund2A__GCA_048771875.1"	"Ctenodactylus_gundi"	"Northern gundi"	"gundi"	10166	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Ctenodactylidae; Ctenodactylus"	"HLcteGund2A"	"GCA_048771875.1"	"NCBI"	"mCteGun2.hap1"	"Chromosome"	"2025-03-21"	"Vertebrate Genomes Project"	38834406	108787391	"ctenodactylus_gundi"
"21"	"Ctenomys_sociabilis__social_tuco-tuco__HLcteSoc1__GCA_004027165.1"	"Ctenomys_sociabilis"	"social tuco-tuco"	""	43321	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Ctenomyidae; Ctenomys"	"HLcteSoc1"	"GCA_004027165.1"	"NCBI"	"CteSoc_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	37562	49073	"ctenomys_sociabilis"
"22"	"Dasyprocta_punctata__punctate_agouti__HLdasPun1__GCA_004363535.1"	"Dasyprocta_punctata"	"punctate agouti"	"Central_American_agouti"	34846	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Dasyproctidae; Dasyprocta"	"HLdasPun1"	"GCA_004363535.1"	"NCBI"	"DasPun_v1_BIUU"	"Scaffold"	"2019-03-22"	"Broad Institute"	38650	43703	"dasyprocta_punctata"
"23"	"Dinomys_branickii__pacarana__HLdinBra1__GCA_004027595.1"	"Dinomys_branickii"	"pacarana"	"Dinomys_branicki"	108858	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Dinomyidae; Dinomys"	"HLdinBra1"	"GCA_004027595.1"	"NCBI"	"DinBra_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	64805	77918	"dinomys_branickii"
"24"	"Hydrochoerus_hydrochaeris__capybara__HLhydHyd1__GCA_004027455.1"	"Hydrochoerus_hydrochaeris"	"capybara"	"carpincho,Hydrochaeris_hydrochaeris,Hydrochaerus_hydrochaeris"	10149	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Hydrochaeridae; Hydrochoerus"	"HLhydHyd1"	"GCA_004027455.1"	"NCBI"	"HydHyd_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	148451	202224	"hydrochoerus_hydrochaeris"
"25"	"Hydrochoerus_hydrochaeris__capybara__HLhydHyd2"	"Hydrochoerus_hydrochaeris"	"capybara"	"Hydrochaerus_hydrochaeris,Hydrochaeris_hydrochaeris,carpincho"	10149	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Hydrochaeridae; Hydrochoerus"	"HLhydHyd2"	"DNA Zoo Consortium"	"DNA Zoo Consortium"	""	""	"2021-04-11"	""	78219	71052467	"hydrochoerus_hydrochaeris"
"26"	"Hystrix_cristata__crested_porcupine__HLhysCri1__GCA_004026905.1"	"Hystrix_cristata"	"crested porcupine"	""	10137	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Hystricidae; Hystrix"	"HLhysCri1"	"GCA_004026905.1"	"NCBI"	"HysCri_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	57102	64768	"hystrix_cristata"
"27"	"Myocastor_coypus__coypu__HLmyoCoy2"	"Myocastor_coypus"	"coypu"	"Mus_coypus,coypu"	10157	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Myocastoridae; Myocastor"	"HLmyoCoy2"	"DNA Zoo Consortium"	"DNA Zoo Consortium"	""	""	"2024-10-07"	""	3975994	138704734	"myocastor_coypus"
"28"	"Octodon_degus__degu__octDeg1__GCF_000260255.1"	"Octodon_degus"	"degu"	""	10160	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Octodontidae; Octodon"	"octDeg1"	"GCF_000260255.1"	"NCBI"	"OctDeg1.0"	"Scaffold"	"2012-05-01"	"Broad Institute"	19847	12091372	"octodon_degus"
"29"	"Petromus_typicus__dassie-rat__HLpetTyp1__GCA_004026965.1"	"Petromus_typicus"	"dassie-rat"	"Dassie_rat"	10183	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Petromuridae; Petromus"	"HLpetTyp1"	"GCA_004026965.1"	"NCBI"	"PetTyp_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	29916	35766	"petromus_typicus"
"30"	"Thryonomys_swinderianus__Greater_cane_rat__HLthrSwi1__GCA_004025085.1"	"Thryonomys_swinderianus"	"Greater cane rat"	""	10169	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Thryonomyidae; Thryonomys"	"HLthrSwi1"	"GCA_004025085.1"	"NCBI"	"ThrSwi_v1_BIUU"	"Scaffold"	"2019-01-15"	"Broad Institute"	18955	21523	"thryonomys_swinderianus"
"31"	"Allactaga_bullata__Gobi_jerboa__HLallBul1__GCA_004027895.1"	"Allactaga_bullata"	"Gobi jerboa"	"Allactaga_(Orientallactaga)_bullata"	1041416	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Dipodoidea; Dipodidae; Allactaginae; Allactaga"	"HLallBul1"	"GCA_004027895.1"	"NCBI"	"AllBul_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	30651	36308	"allactaga_bullata"
"32"	"Jaculus_jaculus__lesser_Egyptian_jerboa__HLjacJac2__GCA_020740685.1"	"Jaculus_jaculus"	"lesser Egyptian jerboa"	""	51337	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Dipodoidea; Dipodidae; Dipodinae; Jaculus"	"HLjacJac2"	"GCA_020740685.1"	"NCBI, VGP"	""	""	"2021-11-07"	""	22593140	158244790	"jaculus_jaculus"
"33"	"Zapus_hudsonius__meadow_jumping_mouse__HLzapHud1__GCA_004024765.1"	"Zapus_hudsonius"	"meadow jumping mouse"	""	160400	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Dipodoidea; Dipodidae; Zapodinae; Zapus"	"HLzapHud1"	"GCA_004024765.1"	"NCBI"	"ZapHud_v1_BIUU"	"Scaffold"	"2019-01-15"	"Broad Institute"	23350	26350	"zapus_hudsonius"
"34"	"Ellobius_lutescens__Transcaucasian_mole_vole__HLellLut1__GCA_001685075.1"	"Ellobius_lutescens"	"Transcaucasian mole vole"	""	39086	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Ellobius"	"HLellLut1"	"GCA_001685075.1"	"NCBI"	"ASM168507v1"	"Scaffold"	"2016-07-14"	"Erasmus medical center (ErasmusMC)"	11648	242123	"ellobius_lutescens"
"35"	"Ellobius_talpinus__Northern_mole_vole__HLellTal1__GCA_001685095.1"	"Ellobius_talpinus"	"Northern mole vole"	""	329620	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Ellobius"	"HLellTal1"	"GCA_001685095.1"	"NCBI"	"ETalpinus_0.1"	"Scaffold"	"2016-07-14"	"Erasmus medical center (ErasmusMC)"	8259	15246	"ellobius_talpinus"
"36"	"Microtus_ochrogaster__prairie_vole__micOch1__GCF_000317375.1"	"Microtus_ochrogaster"	"prairie vole"	"prairie_voles"	79684	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Microtus"	"micOch1"	"GCF_000317375.1"	"NCBI"	"MicOch1.0"	"Chromosome"	"2012-12-07"	"Broad Institute"	21250	17270019	"microtus_ochrogaster"
"37"	"Ondatra_zibethicus__muskrat__HLondZib1__GCA_004026605.1"	"Ondatra_zibethicus"	"muskrat"	"Castor_zibethicus"	10060	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Ondatra"	"HLondZib1"	"GCA_004026605.1"	"NCBI"	"OndZib_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	73746	89093	"ondatra_zibethicus"
"38"	"Cricetulus_griseus__Chinese_hamster__HLcriGri3__GCA_003668045.1"	"Cricetulus_griseus"	"Chinese hamster"	"Cricetulus_barabensis_griseus,Chinese_hamsters,CHO_cell_lines"	10029	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Cricetinae; Cricetulus"	"HLcriGri3"	"GCA_003668045.1"	"NCBI"	"CriGri-PICR"	"Scaffold"	"2018-10-21"	"CHO Genome Community"	2098530	19581774	"cricetulus_griseus"
"39"	"Mesocricetus_auratus__golden_hamster__HLmesAur3__GCF_017639785.1"	"Mesocricetus_auratus"	"golden hamster"	"Syrian_hamsters,Golden_hamsters,Syrian_golden_hamster,Syrian_hamster,Syrian_golden_hamsters"	10036	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Cricetinae; Mesocricetus"	"HLmesAur3"	"GCF_017639785.1"	"NCBI"	"BCM_Maur_2.0"	"Scaffold"	"2021-03-30"	"Baylor College of Medicine Human Genome Sequencing Center"	9471653	85184847	"mesocricetus_auratus"
"40"	"Onychomys_torridus__southern_grasshopper_mouse__HLonyTor1__GCA_903995425.1"	"Onychomys_torridus"	"southern grasshopper mouse"	""	38674	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Onychomys"	"HLonyTor1"	"GCA_903995425.1"	"NCBI"	"mOncTor1.1"	"Chromosome"	"2020-08-21"	"SC"	2276141	112723509	"onychomys_torridus"
"41"	"Peromyscus_maniculatus_bairdii__prairie_deer_mouse__HLperManBai2__GCA_003704035.1"	"Peromyscus_maniculatus_bairdii"	"prairie deer mouse"	"North_American_deer_mouse"	230844	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus; Peromyscus maniculatus"	"HLperManBai2"	"GCA_003704035.1"	"NCBI"	"HU_Pman_2.1"	"Chromosome"	"2018-11-01"	"Harvard University / Howard Hughes Medical Institute"	30111	115033041	"peromyscus_maniculatus_bairdii"
"42"	"Sigmodon_hispidus__Hispid_cotton_rat__HLsigHis2__GCA_041721565.1"	"Sigmodon_hispidus"	"Hispid cotton rat"	"Sigmodon_hispiedis"	42415	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Sigmodontinae; Sigmodon"	"HLsigHis2"	"GCA_041721565.1"	"NCBI"	"HispidOSU"	"Chromosome"	"2024-09-03"	"The Ohio State University"	360703	107795196	"sigmodon_hispidus"
"43"	"Sigmodon_hispidus__Hispid_cotton_rat__HLsigHisp3__GCA_047301775.1"	"Sigmodon_hispidus"	"Hispid cotton rat"	"Sigmodon_hispiedis"	42415	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Sigmodontinae; Sigmodon"	"HLsigHisp3"	"GCA_047301775.1"	"NCBI"	"ASM4730177v1"	"Chromosome"	"2025-01-30"	"Institute of Microbiology, Chinese Academy of Sciences"	77390441	118707662	"sigmodon_hispidus"
"44"	"Acomys_cahirinus__Egyptian_spiny_mouse__HLacoCah1__GCA_004027535.1"	"Acomys_cahirinus"	"Egyptian spiny mouse"	"Acomys_airensis,Acomys_albigena,Cairo_spiny_mouse"	10068	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Deomyinae; Acomys"	"HLacoCah1"	"GCA_004027535.1"	"NCBI"	"AcoCah_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	42476	65411	"acomys_cahirinus"
"45"	"Acomys_cahirinus__Egyptian_spiny_mouse__HLacoCah2"	"Acomys_cahirinus"	"Egyptian spiny mouse"	"Cairo_spiny_mouse,Acomys_airensis,Acomys_albigena"	10068	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Deomyinae; Acomys"	"HLacoCah2"	"https://zenodo.org/record/7761277#.ZEKxiRVBwsw"	"https://zenodo.org/record/7761277#.ZEKxiRVBwsw"	""	""	"2023-04-23"	""	57643754	127770522	"acomys_cahirinus"
"46"	"Meriones_unguiculatus__Mongolian_gerbil__HLmerUng2__GCF_030254825.1"	"Meriones_unguiculatus"	"Mongolian gerbil"	"Mongolian_jird"	10047	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Gerbillinae; Meriones"	"HLmerUng2"	"GCF_030254825.1"	"NCBI"	"Bangor_MerUng_6.1"	"Chromosome"	"2023-06-12"	"Bangor University"	50173090	122584302	"meriones_unguiculatus"
"47"	"Psammomys_obesus__fat_sand_rat__HLpsaObe1__GCA_002215935.2"	"Psammomys_obesus"	"fat sand rat"	""	48139	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Gerbillinae; Psammomys"	"HLpsaObe1"	"GCA_002215935.2"	"NCBI"	"ASM221593v2"	"Scaffold"	"2020-02-10"	"Department of Zoology, University of Oxford, UK"	76389	10472398	"psammomys_obesus"
"48"	"Mus_pahari__shrew_mouse__HLmusPah1__GCA_900095145.2"	"Mus_pahari"	"shrew mouse"	"Gairdner's_shrewmouse,Gairdner's_shrew-mouse,Coelomys_parahi"	10093	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Coelomys"	"HLmusPah1"	"GCA_900095145.2"	"NCBI"	"PAHARI_EIJ_v1.1"	"Chromosome"	"2017-04-28"	"EBI"	29465	111406228	"mus_pahari"
"49"	"Mus_caroli__Ryukyu_mouse__HLmusCar1__GCA_900094665.2"	"Mus_caroli"	"Ryukyu mouse"	"ricefield_mouse,Mus_formosanus"	10089	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"HLmusCar1"	"GCA_900094665.2"	"NCBI"	"CAROLI_EIJ_v1.1"	"Chromosome"	"2017-04-28"	"EBI"	30916	122627250	"mus_caroli"
"50"	"Mus_musculus__House_mouse__HLmusMusc41__GCA_949316315.1"	"Mus_musculus"	"House mouse"	"Mus_sp._129SV,Balb/c_mouse,mouse,transgenic_mice,LK3_transgenic_mice,nude_mice"	10090	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"HLmusMusc41"	"GCA_949316315.1"	"NCBI"	"mMusMuc1.1"	"Chromosome"	"2023-04-08"	"WELLCOME SANGER INSTITUTE"	39533248	132150484	"mus_musculus"
"51"	"Mus_spretus__Western_wild_mouse__HLmusSpr2__GCA_921997135.2"	"Mus_spretus"	"Western wild mouse"	"Mus_musculus_spretus,Algerian_mouse"	10096	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"HLmusSpr2"	"GCA_921997135.2"	"NCBI"	"SPRET_EiJ_v3"	"Chromosome"	"2022-06-30"	"EMBL-EBI, WELLCOME TRUST GENOME CAMPUS, CAMBRIDGE"	10023970	129120363	"mus_spretus"
"52"	"Mus_musculus__house_mouse__mm10__GCF_000001635.20"	"Mus_musculus"	"house mouse"	"transgenic_mice,LK3_transgenic_mice,Mus_sp._129SV,nude_mice,mouse"	10090	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"mm10"	"GCF_000001635.20"	"NCBI"	"GRCm38"	"Chromosome"	"2012-01-09"	"Genome Reference Consortium"	32273079	52589046	"mus_musculus"
"53"	"Mus_musculus__house_mouse__mm39__GCF_000001635.27"	"Mus_musculus"	"house mouse"	"mouse,LK3_transgenic_mice,transgenic_mice,nude_mice,Mus_sp._129SV"	10090	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"mm39"	"GCF_000001635.27"	"NCBI"	"GRCm39"	"Chromosome"	"2020-06-24"	"Genome Reference Consortium"	59462871	106145001	"mus_musculus"
